Time_Now,L_F,R_F,L_SPL,R_SPL,Max_SPL_L,Max_SPL_R,PeakRatio_L_R,Time_Delay,Sound_Dir,Loud?_LR,Sound_Dist
15:13:04,stereoCollect/shoe/a_60_1.wav,stereoCollect/shoe/a_60_0.wav,113.53339531833578,113.34409868473145,35,32.003044,1.093645966927396,-2.9600000000006357e-06,-0.648,L,330229.556
15:13:05,stereoCollect/shoe/a_61_1.wav,stereoCollect/shoe/a_61_0.wav,115.0787750911585,115.0930089353348,51,48.004566000000004,1.062398939300899,-0.00013901000000000018,-30.408,L,78117.656
15:13:06,stereoCollect/shoe/a_62_1.wav,stereoCollect/shoe/a_62_0.wav,118.87349524566207,118.2557903913611,63,73.41874800000001,0.8580914509738029,0.0038065699999999996,832.687,R,3975.926
15:13:07,stereoCollect/shoe/a_63_1.wav,stereoCollect/shoe/a_63_0.wav,119.90323423041613,119.35814917500444,62,45.180768,1.3722652965969946,0.0039879699999999995,872.368,L,1624.414
15:13:08,stereoCollect/shoe/a_64_1.wav,stereoCollect/shoe/a_64_0.wav,121.69020699541187,120.71552834620829,57,51.76963,1.10103162800275,0.004441489999999999,971.576,L,440.219
15:13:09,stereoCollect/shoe/a_65_1.wav,stereoCollect/shoe/a_65_0.wav,119.93003730311679,119.68843063839238,74,65.88862,1.123107450118093,0.00412403,902.132,L,1399.358
15:13:10,stereoCollect/shoe/a_66_1.wav,stereoCollect/shoe/a_66_0.wav,117.1043222209625,116.09535017928643,54,47.063300000000005,1.1473908544449707,4.238999999999979e-05,9.273,L,21142.872
15:13:11,stereoCollect/shoe/a_67_1.wav,stereoCollect/shoe/a_67_0.wav,116.94766317274093,116.74515878087234,57,42.356970000000004,1.345705323114472,-0.00011634000000000037,-25.449,L,17116.71
15:13:12,stereoCollect/shoe/a_68_1.wav,stereoCollect/shoe/a_68_0.wav,113.5078119467369,113.20920970545174,34,30.120512,1.1287988730072052,-0.00022971000000000016,-50.249,L,354441.709
15:13:14,stereoCollect/shoe/a_69_1.wav,stereoCollect/shoe/a_69_0.wav,112.55100815976066,112.98080336748774,38,31.061778,1.223368475558611,0.0004052099999999996,88.64,L,598655.203
15:13:15,stereoCollect/shoe/a_70_1.wav,stereoCollect/shoe/a_70_0.wav,113.4018716030273,112.89622317663314,33,36.709374000000004,0.8989529486392221,-0.0003430899999999999,-75.051,R,426449.715
15:13:16,stereoCollect/shoe/a_71_1.wav,stereoCollect/shoe/a_71_0.wav,113.05964117962603,112.83251500890957,32,27.296714,1.1723022778492678,0.0004505599999999996,98.56,L,510319.898
15:13:17,stereoCollect/shoe/a_72_1.wav,stereoCollect/shoe/a_72_0.wav,112.93663777369471,112.82500839667917,32,26.355448000000003,1.2141702163438846,-0.0005471700000000005,-119.693,L,540681.208
15:13:18,stereoCollect/shoe/a_73_1.wav,stereoCollect/shoe/a_73_0.wav,113.02414255140627,113.04295421786784,28,30.120512,0.9295990718882866,0.0002237999999999997,48.956,R,472304.29
15:13:19,stereoCollect/shoe/a_74_1.wav,stereoCollect/shoe/a_74_0.wav,112.69431796962834,112.8502660647269,35,32.94431,1.062398939300899,0.00011041999999999996,24.154,L,595274.526
15:13:20,stereoCollect/shoe/a_75_1.wav,stereoCollect/shoe/a_75_0.wav,112.08477919060718,111.8333548854096,28,26.355448000000003,1.0623989393008988,8.774999999999929e-05,19.195,L,1227526.686
15:13:21,stereoCollect/shoe/a_76_1.wav,stereoCollect/shoe/a_76_0.wav,111.85147383071451,111.31616086731638,31,30.120512,1.029198972447746,-0.00029774000000000033,-65.131,L,1717261.933
15:13:22,stereoCollect/shoe/a_77_1.wav,stereoCollect/shoe/a_77_0.wav,112.17355752768538,112.08275286416382,27,23.531650000000003,1.1473908544449707,0.00029182999999999987,63.838,L,1055578.002
15:13:23,stereoCollect/shoe/a_78_1.wav,stereoCollect/shoe/a_78_0.wav,111.67199243814352,112.00351764974454,28,29.179246000000003,0.9595861387233926,-2.5630000000000444e-05,-5.607,R,1368087.73
15:13:24,stereoCollect/shoe/a_79_1.wav,stereoCollect/shoe/a_79_0.wav,113.43703039151663,113.41185326789271,33,33.885576,0.9738656943591574,0.0001330999999999997,29.116,R,334420.543
15:13:25,stereoCollect/shoe/a_80_1.wav,stereoCollect/shoe/a_80_0.wav,113.34994936945964,113.10535403497319,32,28.23798,1.1332255352542921,-0.0005245000000000007,-114.734,L,397839.584
15:13:26,stereoCollect/shoe/a_81_1.wav,stereoCollect/shoe/a_81_0.wav,113.55612654257705,112.64800782262027,33,32.003044,1.031151911674402,-0.00011634000000000037,-25.449,L,444532.745
15:13:27,stereoCollect/shoe/a_82_1.wav,stereoCollect/shoe/a_82_0.wav,113.10425119784121,112.84258945953489,30,38.591906,0.7773650775372432,-4.831000000000019e-05,-10.568,R,498115.755
15:13:28,stereoCollect/shoe/a_83_1.wav,stereoCollect/shoe/a_83_0.wav,112.99799229509242,113.35292174389355,43,44.239502,0.9719820082965671,-7.098e-05,-15.527,R,416612.534
15:13:29,stereoCollect/shoe/a_84_1.wav,stereoCollect/shoe/a_84_0.wav,115.3828334170662,115.37816011649531,67,58.358492000000005,1.1480762731154874,-0.00020704000000000035,-45.29,L,60494.735
15:13:30,stereoCollect/shoe/a_85_1.wav,stereoCollect/shoe/a_85_0.wav,112.30100627847769,112.82614869986875,33,40.474438,0.8153294185332481,4.238999999999979e-05,9.273,R,716422.614
15:13:32,stereoCollect/shoe/a_86_1.wav,stereoCollect/shoe/a_86_0.wav,113.89247372567552,114.09057407933803,31,34.826842,0.8901180302250775,-0.00016168999999999992,-35.37,R,203096.325
15:13:33,stereoCollect/shoe/a_87_1.wav,stereoCollect/shoe/a_87_0.wav,113.45066067763892,112.37684662548818,41,39.533172,1.0371037264604015,0.0002237999999999997,48.956,L,525138.078
